year,pubpriv,hiqual,degree,sex,age,occ1_lab,rwage,ln_wage
2010.0,Private,No qualification,0.0,Male,40.0,"PROCESS, PLANT AND MACHINE OPERATIVES",7.076980097075717,1.9515187599035475
2020.0,Private,Higher education,0.0,Female,41.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",9.276308105182279,2.068020566717849
2002.0,Private,Other qualifications,0.0,Male,36.0,SKILLED TRADE OCCUPATIONS,10.554773937087807,2.782359366972244
2008.0,Private,No qualification,0.0,Male,60.0,SKILLED TRADE OCCUPATIONS,6.669224640458605,1.4726628066654235
2015.0,Private,Other qualifications,0.0,Male,37.0,ELEMENTARY OCCUPATIONS,11.824134362310046,2.4141595065272488
2002.0,Private,GCE A Level or equiv,0.0,Male,48.0,PROFESSIONAL OCCUPATIONS,52.220877834316695,3.773461713283222
2007.0,Private,GCE A Level or equiv,0.0,Female,36.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",10.302325225957848,2.034708262601992
2002.0,Public,Degree or equivalent,1.0,Female,37.0,PROFESSIONAL OCCUPATIONS,34.059431184148565,3.6332862133656976
2017.0,Private,GCSE grades A-C or equiv,0.0,Female,40.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,11.150072266362043,2.2632303279910215
2005.0,Public,Degree or equivalent,1.0,Female,27.0,PROFESSIONAL OCCUPATIONS,18.977873468842073,2.628226511204408
2007.0,Private,Other qualifications,0.0,Male,42.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",21.470768761861063,2.6122043086157487
2015.0,Private,GCSE grades A-C or equiv,0.0,Female,24.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,1.6043743188026216,1.3912363050099157
2017.0,Private,GCE A Level or equiv,0.0,Male,52.0,PROFESSIONAL OCCUPATIONS,15.769726499472497,2.7231465242829014
2016.0,Private,Other qualifications,0.0,Male,52.0,PROFESSIONAL OCCUPATIONS,40.183108296103924,3.7256397720313212
2014.0,Public,Higher education,0.0,Female,54.0,PROFESSIONAL OCCUPATIONS,10.303159015403892,2.4040147484006074
2016.0,Public,GCSE grades A-C or equiv,0.0,Female,53.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",7.432908896546483,2.127175525103019
2009.0,Private,Degree or equivalent,1.0,Male,31.0,SKILLED TRADE OCCUPATIONS,18.984211147425878,2.5038261124330363
2018.0,Public,GCSE grades A-C or equiv,0.0,Female,50.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,7.521252219318537,1.97777854164028
2004.0,Public,Degree or equivalent,1.0,Male,39.0,PROFESSIONAL OCCUPATIONS,27.937252957767864,3.2079878382372105
2015.0,Private,GCSE grades A-C or equiv,0.0,Female,29.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,11.797678351076794,2.438043150418468
2015.0,Private,Degree or equivalent,1.0,Male,47.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",38.21788913935071,3.361391631594725
2014.0,Private,Higher education,0.0,Male,66.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,53.29392605208905,3.976233096065781
2005.0,Public,Other qualifications,0.0,Female,62.0,ELEMENTARY OCCUPATIONS,5.881220766067984,1.4584123683538992
2002.0,Private,GCSE grades A-C or equiv,0.0,Male,43.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,22.512396128165694,2.7362148616234117
2007.0,Private,No qualification,0.0,Male,18.0,SKILLED TRADE OCCUPATIONS,5.405783782046328,1.572731373458871
2005.0,Private,GCSE grades A-C or equiv,0.0,Male,29.0,PROFESSIONAL OCCUPATIONS,32.45944072939358,3.7385119830417706
2011.0,Private,GCE A Level or equiv,0.0,Male,30.0,SKILLED TRADE OCCUPATIONS,8.606195587821695,2.025373799147869
2014.0,Public,Degree or equivalent,1.0,Male,43.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,24.11955050158045,3.158663282798348
2003.0,Private,GCSE grades A-C or equiv,0.0,Male,44.0,ELEMENTARY OCCUPATIONS,12.492020265076162,2.5545918855190175
2004.0,Private,Other qualifications,0.0,Male,29.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",33.22958853662452,3.129104885659975
2009.0,Public,Higher education,0.0,Female,26.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,9.928801462399685,2.0864860866400567
2003.0,Private,GCE A Level or equiv,0.0,Male,47.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,10.744040387445981,2.8544475341738424
2003.0,Private,GCSE grades A-C or equiv,0.0,Female,50.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,5.37391367041742,1.636550077373807
2011.0,Private,GCE A Level or equiv,0.0,Male,52.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",4.805165500781577,1.7816377278611382
2008.0,Private,GCSE grades A-C or equiv,0.0,Female,42.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,5.4689878953438775,2.200595994724647
2007.0,Public,GCSE grades A-C or equiv,0.0,Female,33.0,ELEMENTARY OCCUPATIONS,4.8878097207919,1.3062610358260853
2015.0,Private,Degree or equivalent,1.0,Male,43.0,"PROCESS, PLANT AND MACHINE OPERATIVES",12.107962561979464,2.299645150575538
2008.0,Public,Degree or equivalent,1.0,Female,40.0,PROFESSIONAL OCCUPATIONS,23.02751491361512,2.783842627688577
2004.0,Private,GCSE grades A-C or equiv,0.0,Male,28.0,ELEMENTARY OCCUPATIONS,-0.42745093095327213,1.418740488179472
2006.0,Public,Degree or equivalent,1.0,Female,49.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,25.309911143932485,3.0248797082105585
2004.0,Private,GCE A Level or equiv,0.0,Male,51.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",34.33116575550656,3.036687405019961
2008.0,Private,GCE A Level or equiv,0.0,Male,46.0,SKILLED TRADE OCCUPATIONS,7.806703793184209,1.7819965101475803
2020.0,Public,GCSE grades A-C or equiv,0.0,Female,48.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",9.918658255829342,2.007331717994941
2008.0,Private,No qualification,0.0,Male,52.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,29.37169321514977,3.0052104845873435
2002.0,Private,GCSE grades A-C or equiv,0.0,Male,40.0,"PROCESS, PLANT AND MACHINE OPERATIVES",8.470615610417743,2.034280409556265
2003.0,Public,Degree or equivalent,1.0,Female,49.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",15.571886760792712,3.047538853616051
2003.0,Private,Higher education,0.0,Female,34.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,17.15745826471125,2.550381773517982
2010.0,Private,GCSE grades A-C or equiv,0.0,Female,47.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",8.861395177387042,1.4641606496177006
2007.0,Private,No qualification,0.0,Female,17.0,ELEMENTARY OCCUPATIONS,41.816067447832516,2.761961732163608
2016.0,Public,GCE A Level or equiv,0.0,Male,61.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",2.395346391678604,2.5435930052139613
2011.0,Public,GCSE grades A-C or equiv,0.0,Female,52.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,6.02890608828695,1.7677214300725599
2011.0,Private,Other qualifications,0.0,Male,36.0,ELEMENTARY OCCUPATIONS,10.774389930278412,2.270999941851044
2006.0,Private,GCE A Level or equiv,0.0,Female,35.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,11.65752827761575,2.502751639047131
2004.0,Public,Higher education,0.0,Female,56.0,PROFESSIONAL OCCUPATIONS,19.502355816527473,2.773015985933827
2008.0,Public,Degree or equivalent,1.0,Female,50.0,PROFESSIONAL OCCUPATIONS,24.541601044454364,3.1939945872644717
2020.0,Private,GCE A Level or equiv,0.0,Male,21.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,8.845144825384391,1.9943434477031223
2016.0,Private,Other qualifications,0.0,Male,27.0,"PROCESS, PLANT AND MACHINE OPERATIVES",6.110149196293575,1.6408274843204387
2019.0,Public,Degree or equivalent,1.0,Female,53.0,PROFESSIONAL OCCUPATIONS,27.119859165217882,2.9356422067967594
2002.0,Private,GCSE grades A-C or equiv,0.0,Male,37.0,"PROCESS, PLANT AND MACHINE OPERATIVES",8.749153141064465,2.142484115935004
2014.0,Public,GCE A Level or equiv,0.0,Female,59.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,11.733443538634733,2.407127724325218
2007.0,Private,GCSE grades A-C or equiv,0.0,Female,32.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,2.8006484813374435,1.388212281256147
2009.0,Private,GCE A Level or equiv,0.0,Male,39.0,SKILLED TRADE OCCUPATIONS,15.191765592895658,2.3446713245171344
2017.0,Private,No qualification,0.0,Female,47.0,ELEMENTARY OCCUPATIONS,6.070335493217263,1.6537241598142904
2005.0,Public,GCSE grades A-C or equiv,0.0,Male,39.0,SKILLED TRADE OCCUPATIONS,1.824137291441426,1.7658689367479306
2011.0,Private,Degree or equivalent,1.0,Female,44.0,PROFESSIONAL OCCUPATIONS,10.182148053211414,2.4222827621732805
2009.0,Private,Other qualifications,0.0,Female,45.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,13.512170154103195,2.2377486510572826
2018.0,Private,Other qualifications,0.0,Male,18.0,ELEMENTARY OCCUPATIONS,3.495172158924754,1.076463401273481
2004.0,Private,Degree or equivalent,1.0,Male,28.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",1.4764278083381868,1.4884391492137088
2013.0,Private,GCE A Level or equiv,0.0,Female,54.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",30.733285469003825,3.5974525796305254
2004.0,Private,Higher education,0.0,Male,38.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",9.41375500845683,2.6701934962916534
2012.0,Public,Degree or equivalent,1.0,Male,55.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",34.75498271695452,3.2817764926293127
2013.0,Private,GCSE grades A-C or equiv,0.0,Male,53.0,SKILLED TRADE OCCUPATIONS,17.29991984413175,2.8341996243941665
2018.0,Private,GCE A Level or equiv,0.0,Female,27.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,9.554920947162719,1.9882158668934529
2007.0,Private,Degree or equivalent,1.0,Male,37.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",32.12976941269907,3.0558517039653696
2016.0,Public,GCE A Level or equiv,0.0,Male,49.0,PROFESSIONAL OCCUPATIONS,16.692509496865014,2.8068023633006467
2011.0,Private,GCE A Level or equiv,0.0,Male,30.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",9.880883785863416,1.9990680097905351
2014.0,Private,GCE A Level or equiv,0.0,Male,30.0,SKILLED TRADE OCCUPATIONS,4.774080967439334,1.7608267468803032
2002.0,Private,Degree or equivalent,1.0,Male,39.0,PROFESSIONAL OCCUPATIONS,29.483914490689536,3.4301645556080227
2007.0,Private,GCE A Level or equiv,0.0,Female,43.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,4.483821287548751,1.624450653959244
2017.0,Private,GCE A Level or equiv,0.0,Male,36.0,ELEMENTARY OCCUPATIONS,3.790030875131235,1.1646838996649986
2007.0,Public,Degree or equivalent,1.0,Female,29.0,PROFESSIONAL OCCUPATIONS,16.417426132047428,2.507580577591313
2015.0,Public,GCE A Level or equiv,0.0,Female,33.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,11.482903007485906,2.2222479860174653
2006.0,Private,Degree or equivalent,1.0,Male,23.0,PROFESSIONAL OCCUPATIONS,19.3900855251026,2.8178852010357023
2008.0,Private,Higher education,0.0,Female,40.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",13.420373663864542,2.3615927506523846
2007.0,Private,GCE A Level or equiv,0.0,Male,20.0,SKILLED TRADE OCCUPATIONS,10.84848123831095,2.2578738330097363
2012.0,Public,Higher education,0.0,Female,44.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,10.018144230498107,2.2597669521196027
2002.0,Private,GCE A Level or equiv,0.0,Male,42.0,"PROCESS, PLANT AND MACHINE OPERATIVES",19.38022547614041,2.516637133590758
2019.0,Public,Higher education,0.0,Female,61.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,10.085743467423173,2.36113754076371
2003.0,Private,Degree or equivalent,1.0,Male,34.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",22.445931801601343,2.6190131748247043
2017.0,Private,GCSE grades A-C or equiv,0.0,Male,46.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",39.73004979325424,3.847936897394674
2002.0,Private,GCE A Level or equiv,0.0,Male,58.0,SKILLED TRADE OCCUPATIONS,3.0184786898365257,1.442505427806561
2012.0,Private,GCSE grades A-C or equiv,0.0,Male,23.0,PROFESSIONAL OCCUPATIONS,-4.619020764865056,1.7867991536292789
2010.0,Public,Other qualifications,0.0,Male,33.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,27.41694700955393,2.899717924012241
2016.0,Private,GCSE grades A-C or equiv,0.0,Male,44.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",35.395650557763545,3.219013131764914
2018.0,Private,Degree or equivalent,1.0,Female,38.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",14.988544224983947,2.40602286693741
2012.0,Private,Higher education,0.0,Male,23.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,12.90856955649199,2.4436744011239497
2006.0,Private,Degree or equivalent,1.0,Male,22.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,8.528260969585256,1.9399760984546999
2010.0,Private,Other qualifications,0.0,Male,40.0,ELEMENTARY OCCUPATIONS,8.463980862661153,1.9330769793016762
2005.0,Private,Degree or equivalent,1.0,Female,44.0,PROFESSIONAL OCCUPATIONS,29.972957530991188,3.3788052289983606
2007.0,Private,GCSE grades A-C or equiv,0.0,Female,43.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,11.388088731514646,2.2524561868681876
2010.0,Public,GCSE grades A-C or equiv,0.0,Male,45.0,ELEMENTARY OCCUPATIONS,10.093082172246962,2.1013101580707603
2007.0,Private,Higher education,0.0,Male,51.0,ELEMENTARY OCCUPATIONS,7.998209479830341,2.152772231494864
2009.0,Private,GCSE grades A-C or equiv,0.0,Male,48.0,SKILLED TRADE OCCUPATIONS,11.581810145390046,2.194040347957766
